Time,Wind onshore,Wind offshore,PV,Old Nuclear,New Nuclear,Hydropower
2019,0.2452,0,0.1519,0.685,0.76,0.3
2020,0.2667,0.2108,0.1447,0.680727273,0.76,0.3
2021,0.2325,0.1773,0.1386,0.676454545,0.76,0.3
2022,0.2227,0.2469,0.1481,0.672181818,0.76,0.3
2023,0.2618,0.3599,0.1452,0.667909091,0.76,0.3
2024,0.2191,0.3528,0.129,0.663636364,0.76,0.3
2025,0.24,0.35,0.14,0.659363636,0.76,0.3
2026,0.24,0.35,0.14,0.655090909,0.76,0.3
2027,0.24,0.35,0.14,0.650818182,0.76,0.3
2028,0.24,0.35,0.14,0.646545455,0.76,0.3
2029,0.24,0.35,0.14,0.642272727,0.76,0.3
2030,0.24,0.35,0.14,0.638,0.76,0.3
2031,0.24,0.35,0.14,0.621,0.76,0.3
2032,0.24,0.35,0.14,0.604,0.76,0.3
2033,0.24,0.35,0.14,0.587,0.76,0.3
2034,0.24,0.35,0.14,0.57,0.76,0.3
2035,0.24,0.35,0.14,0.553,0.76,0.3
2036,0.24,0.35,0.14,0.536,0.76,0.3
2037,0.24,0.35,0.14,0.519,0.76,0.3
2038,0.24,0.35,0.14,0.502,0.76,0.3
2039,0.24,0.35,0.14,0.485,0.76,0.3
2040,0.24,0.35,0.14,0.468,0.76,0.3
2041,0.24,0.35,0.14,0.438,0.76,0.3
2042,0.24,0.35,0.14,0.408,0.76,0.3
2043,0.24,0.35,0.14,0.378,0.76,0.3
2044,0.24,0.35,0.14,0.348,0.76,0.3
2045,0.24,0.35,0.14,0.318,0.76,0.3
2046,0.24,0.35,0.14,0.288,0.76,0.3
2047,0.24,0.35,0.14,0.258,0.76,0.3
2048,0.24,0.35,0.14,0.228,0.76,0.3
2049,0.24,0.35,0.14,0.198,0.76,0.3
2050,0.24,0.35,0.14,0.168,0.76,0.3
